target,r_p_R_saturn,r_p_km,r_a_km,v_p_hyperbolic_kms,v_p_ellipse_kms,soi_dv_kms,orbit_period_days,ring_zone_at_periapsis,tau_at_periapsis
r_a = 3 r_titan,1.495817920461601,90149.95443037976,3625641.0,29.514525746364214,28.6547972841427,0.8597284622215149,29.901963489306866,C-ring,0.1
r_a = 6 r_titan,1.495817920461601,90149.95443037976,7251282.0,29.514525746364214,28.830195404160467,0.6843303422037472,83.04126643182948,C-ring,0.1
r_a = r_titan,1.5354325783651588,92537.4506329114,1208547.0,29.144397502461313,27.59520322376647,1.5491942786948414,6.195566560033374,B-ring,2.0
r_a = 3 r_titan,1.5354325783651588,92537.4506329114,3625641.0,29.144397502461313,28.273648379649604,0.8707491228117092,29.93078734870617,B-ring,2.0
r_a = 6 r_titan,1.5354325783651588,92537.4506329114,7251282.0,29.144397502461313,28.4512249688553,0.6931725336060133,83.08177831581227,B-ring,2.0
r_a = r_titan,1.5750472362687171,94924.94683544304,1208547.0,28.78848245984791,27.221000262470902,1.5674821973770072,6.212627722379355,B-ring,2.0
r_a = 3 r_titan,1.5750472362687171,94924.94683544304,3625641.0,28.78848245984791,27.906864782393072,0.8816176774548374,29.959620463700332,B-ring,2.0
r_a = 6 r_titan,1.5750472362687171,94924.94683544304,7251282.0,28.78848245984791,28.08658711986844,0.701895339979469,83.12229678559369,B-ring,2.0
r_a = r_titan,1.6146618941722752,97312.44303797468,1208547.0,28.445901196156676,26.860413903425066,1.5854872927316102,6.229704516874345,B-ring,2.0
r_a = 3 r_titan,1.6146618941722752,97312.44303797468,3625641.0,28.445901196156676,27.553561483736086,0.8923397124205898,29.98846283131921,B-ring,2.0
r_a = 6 r_titan,1.6146618941722752,97312.44303797468,7251282.0,28.445901196156676,27.73539802553873,0.7105031706179474,83.16282184010343,B-ring,2.0
r_a = r_titan,1.6542765520758334,99699.93924050633,1208547.0,28.11584852602641,26.51262901743208,1.6032195085943322,6.246796929221704,B-ring,2.0
r_a = 3 r_titan,1.6542765520758334,99699.93924050633,3625641.0,28.11584852602641,27.21292805064327,0.9029204753831408,30.017314448595496,B-ring,2.0
r_a = 6 r_titan,1.6542765520758334,99699.93924050633,7251282.0,28.11584852602641,27.39684835898484,0.7190001670415711,83.20335347827181,B-ring,2.0
r_a = r_titan,1.6938912099793917,102087.43544303798,1208547.0,27.797585636877077,26.17689742764757,1.620688209229506,6.263904945163946,B-ring,2.0
r_a = 3 r_titan,1.6938912099793917,102087.43544303798,3625641.0,27.797585636877077,26.884220733304588,0.9133649035724893,30.04617531256477,B-ring,2.0
r_a = 6 r_titan,1.6938912099793917,102087.43544303798,7251282.0,27.797585636877077,27.070195411600263,0.7273902252768139,83.24389169902955,B-ring,2.0
r_a = r_titan,1.7335058678829498,104474.93164556962,1208547.0,27.49043321931359,25.852530993231465,1.6379022260821259,6.281028550482565,B-ring,2.0
r_a = 3 r_titan,1.7335058678829498,104474.93164556962,3625641.0,27.49043321931359,26.56675557033056,0.9236776489830305,30.075045420265436,B-ring,2.0
r_a = 6 r_titan,1.7335058678829498,104474.93164556962,7251282.0,27.49043321931359,26.754756203506908,0.735677015806683,83.28443650130795,B-ring,2.0
r_a = r_titan,1.7731205257865081,106862.42784810127,1208547.0,27.19376544684446,25.538895547074482,1.6548698997699773,6.298167730997849,B-ring,2.0
r_a = 3 r_titan,1.7731205257865081,106862.42784810127,3625641.0,27.19376544684446,26.259902345837382,0.933863101007077,30.103924768738764,B-ring,2.0
r_a = 6 r_titan,1.7731205257865081,106862.42784810127,7251282.0,27.19376544684446,26.44990144536239,0.7438640014820699,83.32498788403883,B-ring,2.0
r_a = r_titan,1.8127351836900665,109249.92405063292,1208547.0,26.907004683558196,25.23540556566212,1.6715991178960756,6.315322472568705,B-ring,2.0
r_a = 3 r_titan,1.8127351836900665,109249.92405063292,3625641.0,26.907004683558196,25.963079276750523,0.9439254068076721,30.132813355028844,B-ring,2.0
r_a = 6 r_titan,1.8127351836900665,109249.92405063292,7251282.0,26.907004683558196,26.155050229914842,0.7519544536433536,83.36554584615455,B-ring,2.0
r_a = r_titan,1.8523498415936246,111637.42025316457,1208547.0,26.629616817977524,24.94151946879766,1.6880973491798628,6.332492761092499,B-ring,2.0
r_a = 3 r_titan,1.8523498415936246,111637.42025316457,3625641.0,26.629616817977524,25.675748328276494,0.9538684897010299,30.161711176182607,B-ring,2.0
r_a = 6 r_titan,1.8523498415936246,111637.42025316457,7251282.0,26.629616817977524,25.869665351311294,0.7599514666662301,83.40611038658791,B-ring,2.0
r_a = r_titan,1.8919644994971827,114024.9164556962,1208547.0,26.361107137384565,24.65673546304786,1.7043716743367057,6.3496785825048585,B-ring,2.0
r_a = 3 r_titan,1.8919644994971827,114024.9164556962,3625641.0,26.361107137384565,25.397411071603358,0.9636960657812068,30.190618229249807,B-ring,2.0
r_a = 6 r_titan,1.8919644994971827,114024.9164556962,7251282.0,26.361107137384565,25.593249166268542,0.7678579711160225,83.44668150427233,B-ring,2.0
r_a = r_titan,1.931579157400741,116412.41265822785,1208547.0,26.101016670166146,24.380587856088955,1.7204288140771915,6.3668799227795185,B-ring,2.0
r_a = 3 r_titan,1.931579157400741,116412.41265822785,3625641.0,26.101016670166146,25.127605011177813,0.9734116589883328,30.21953451128304,B-ring,2.0
r_a = 6 r_titan,1.931579157400741,116412.41265822785,7251282.0,26.101016670166146,25.325339924496227,0.7756767456699194,83.48725919814169,B-ring,2.0
r_a = r_titan,1.9711938153042992,118799.9088607595,1208547.0,25.848918934707704,24.112643780159136,1.7362751545485686,6.384096767928142,Cassini Division,0.1
r_a = 3 r_titan,1.9711938153042992,118799.9088607595,3625641.0,25.848918934707704,24.865900319912722,0.9830186147949824,30.248460019337706,Cassini Division,0.1
r_a = 6 r_titan,1.9711938153042992,118799.9088607595,7251282.0,25.848918934707704,25.065508506762427,0.7834104279452774,83.52784346713038,Cassini Division,0.1
r_a = r_titan,2.0108084732078573,121187.40506329114,1208547.0,25.604417042495232,23.852500271996394,1.7519167704988376,6.401329104000143,Cassini Division,0.1
r_a = 3 r_titan,2.0108084732078573,121187.40506329114,3625641.0,25.604417042495232,24.61189692983269,0.9925201126625431,30.277394750472045,Cassini Division,0.1
r_a = 6 r_titan,2.0108084732078573,121187.40506329114,7251282.0,25.604417042495232,24.813355518140867,0.7910615243543653,83.56843431017336,Cassini Division,0.1
r_a = r_titan,2.0504231311114154,123574.90126582279,1208547.0,25.36714111070848,23.599781664300195,1.7673594464082854,6.418576917082536,A-ring,0.6
r_a = 3 r_titan,2.0504231311114154,123574.90126582279,3625641.0,25.36714111070848,24.365221933308376,1.0019191774001044,30.306338701747084,A-ring,0.6
r_a = 6 r_titan,2.0504231311114154,123574.90126582279,7251282.0,25.36714111070848,24.56850869161809,0.7986324190903922,83.60903172620604,A-ring,0.6
r_a = r_titan,2.090037789014974,125962.39746835444,1208547.0,25.136745945978003,23.354137250175285,1.7826086958027183,6.4358401932997475,A-ring,0.6
r_a = 3 r_titan,2.090037789014974,125962.39746835444,3625641.0,25.136745945978003,24.125527256436087,1.0112186895419164,30.33529187022667,A-ring,0.6
r_a = 6 r_titan,2.090037789014974,125962.39746835444,7251282.0,25.136745945978003,24.330620563641258,0.8061253823367451,83.64963571416442,A-ring,0.6
