savings_kms,tps_areal_density_kg_m2,coverage_frac,dv_inbound_kms,m_dry_base_eff_t,m_shield_t,m_dry_total_t,m_post_exit_t,m_at_earth_t,m_delivered_t,delivered_fraction
1.0,200,1.0,23.7,180.0,33.07760961125437,213.07760961125436,370.8645571763333,228.718373346705,15.640763735450633,0.07820381867725316
1.5,0,0.3,23.2,180.0,0.0,180.0,341.1672006614783,212.56001219262825,32.56001219262825,0.16280006096314126
1.5,0,0.5,23.2,180.0,0.0,180.0,341.1672006614783,212.56001219262825,32.56001219262825,0.16280006096314126
1.5,0,1.0,23.2,180.0,0.0,180.0,341.1672006614783,212.56001219262825,32.56001219262825,0.16280006096314126
1.5,30,0.3,23.2,180.0,1.4884924325064464,181.48849243250643,342.50358170464676,213.3926279021077,31.904135469601272,0.15952067734800635
1.5,30,0.5,23.2,180.0,2.4808207208440773,182.48082072084406,343.39450240009245,213.94770504176074,31.466884320916677,0.15733442160458339
1.5,30,1.0,23.2,180.0,4.961641441688155,184.96164144168816,345.6218041387066,215.33539789089323,30.373756449205075,0.15186878224602537
1.5,50,0.3,23.2,180.0,2.4808207208440773,182.48082072084406,343.39450240009245,213.94770504176074,31.466884320916677,0.15733442160458339
1.5,50,0.5,23.2,180.0,4.134701201406796,184.13470120140678,344.87937022583515,214.87283360784903,30.738132406442247,0.15369066203221124
1.5,50,1.0,23.2,180.0,8.269402402813592,188.2694024028136,348.5915397901921,217.18565502306987,28.916252620256273,0.14458126310128136
1.5,80,0.3,23.2,180.0,3.969313153350524,183.96931315335053,344.73088344326095,214.78032075124025,30.811007597889727,0.15405503798944864
1.5,80,0.5,23.2,180.0,6.615521922250873,186.61552192225088,347.10667196444933,216.26052645698155,29.645004534730674,0.14822502267365337
1.5,80,1.0,23.2,180.0,13.231043844501746,193.23104384450176,353.0461432674203,219.9610407213348,26.72999687683304,0.1336499843841652
1.5,120,0.3,23.2,180.0,5.9539697300257854,185.9539697300258,346.5127248341522,215.8904750305462,29.936505300520423,0.1496825265026021
1.5,120,0.5,23.2,180.0,9.92328288337631,189.92328288337632,350.07640761593484,218.1107835891582,28.187500705781872,0.14093750352890935
1.5,120,1.0,23.2,180.0,19.84656576675262,199.84656576675263,358.9856145703913,223.6615549856881,23.814989218935466,0.11907494609467734
1.5,200,0.3,23.2,180.0,9.92328288337631,189.92328288337632,350.07640761593484,218.1107835891582,28.187500705781872,0.14093750352890935
1.5,200,0.5,23.2,180.0,16.538804805627183,196.5388048056272,356.0158789189058,221.81129785351146,25.272493047884268,0.12636246523942135
1.5,200,1.0,23.2,180.0,33.07760961125437,213.07760961125436,370.8645571763333,231.06258351439467,17.984973903140315,0.08992486951570157
2.0,0,0.3,22.7,180.0,0.0,180.0,341.1672006614783,214.73860997878367,34.73860997878367,0.17369304989391834
2.0,0,0.5,22.7,180.0,0.0,180.0,341.1672006614783,214.73860997878367,34.73860997878367,0.17369304989391834
2.0,0,1.0,22.7,180.0,0.0,180.0,341.1672006614783,214.73860997878367,34.73860997878367,0.17369304989391834
2.0,30,0.3,22.7,180.0,1.4884924325064464,181.48849243250643,342.50358170464676,215.579759441732,34.09126700922556,0.1704563350461278
